Name,Address,Rating,Latitude,Longitude,station_location
Chambar Restaurant,"568 Beatty St, Vancouver, BC V6B 2L3, Canada",4.5,49.2801271,-123.1099351,"49.280127, -123.109935"
Cardero's Restaurant,"1583 Coal Harbour Quay, Vancouver, BC V6G 3E7, Canada",4.5,49.2916101,-123.1274816,"49.291610, -123.127482"
Elisa,"1109 Hamilton St, Vancouver, BC V6B 5P6, Canada",4.5,49.27596430000001,-123.1214134,"49.275964, -123.121413"
Giardino Restaurant,"1328 Hornby St, Vancouver, BC V6Z 1W5, Canada",4.6,49.27694140000001,-123.1299926,"49.276941, -123.129993"
Nightingale,"1017 W Hastings St, Vancouver, BC V6E 0C4, Canada",4.5,49.2873977,-123.1174751,"49.287398, -123.117475"
Joe Fortes Seafood & Chop House,"777 Thurlow St, Vancouver, BC V6E 3V5, Canada",4.5,49.2849486,-123.1245531,"49.284949, -123.124553"
Miku Vancouver,"200 Granville St #70, Vancouver, BC V6C 1S4, Canada",4.5,49.2870179,-123.1130107,"49.287018, -123.113011"
Glowbal,"590 W Georgia St, Vancouver, BC V6E 1A3, Canada",4.3,49.28153140000001,-123.1173984,"49.281531, -123.117398"
PiDGiN Restaurant,"350 Carrall St, Vancouver, BC V6B 2J3, Canada",4.4,49.28188100000001,-123.104145,"49.281881, -123.104145"
Hawksworth Restaurant,"801 W Georgia St, Vancouver, BC V6C 1P7, Canada",4.4,49.2834532,-123.1192387,"49.283453, -123.119239"
Provence Marinaside,"1177 Marinaside Crescent, Vancouver, BC V6Z 2Y3, Canada",4.3,49.27333369999999,-123.1196165,"49.273334, -123.119617"
Lupo Restaurant & Vinoteca,"869 Hamilton St, Vancouver, BC V6B 2R7, Canada",4.5,49.2782056,-123.1173135,"49.278206, -123.117313"
Italian Kitchen,"860 Burrard St, Vancouver, BC V6Z 1X9, Canada",4.2,49.2825272,-123.123559,"49.282527, -123.123559"
