Venue Name,Average Rating,Review Count,SkyTrain Station,Latitude,Longitude,ID,Source,Distance
A&W Canada,3.7,569,Main Street-Science World,49.27312,-123.10048,ChIJZ7GEH2RxhlQRVOFg4REEFN0,Google,11.062797759677574
A&W Canada,3.8,765,Commercial-Broadway Station,49.262566,-123.0694199,ChIJvWqz0E5xhlQRmQ0QSFzd-OI,Google,14.740643943280876
Tim Hortons,3.2,138,Main Street-Science World,49.2731501,-123.1005556,ChIJydBOH2RxhlQRNt7Hp4vijHE,Google,15.11367304903213
St Regis Bar & Grill,4.1,672,Granville,49.2831689,-123.1159323,ChIJAWJHy3hxhlQRxAZ-J4oMWJA,Google,20.001127573008404
The Keg Steakhouse + Bar - Dunsmuir,4.4,2288,Granville,49.2834448,-123.116359,ChIJGdCptHhxhlQR5OKcIP64od4,Google,23.59227763432836
Donair Dude,3.9,385,Commercial-Broadway Station,49.2627433,-123.0695059,ChIJ36BQHIlxhlQRtMmDXreD5GA,Google,23.68759195052098
A&W Canada,4.0,450,Joyce–Collingwood,49.2382612,-123.0314319,ChIJ4bfFaKl3hlQRMJAS9Lx7AVk,Google,26.738046279483786
"Mr. Shawarma Vancouver Shawarma and Cheesesteak, Burger, and Falafel",4.6,651,Burrard,49.2852956,-123.1202073,ChIJSYllMk5xhlQRAH4cXrSG67A,Google,28.600437842248
Easy Italian Food Cooking,5.0,5,Marine Drive Station,49.20985450000001,-123.116646,ChIJDV2sT7N1hlQRA_0uAhV7t0w,Google,34.044207287112116
Freshslice Pizza,4.3,442,Marine Drive Station,49.2099567,-123.1168429,ChIJ46UHRKx1hlQRPlovXNckj8g,Google,34.3776053266615
Kalai's curry kitchen,4.5,99,Main Street-Science World,49.27290139999999,-123.1001058,ChIJce838QVxhlQRZsng2C_BuWg,Google,34.917780279099915
Tim Hortons,2.9,75,Stadium-Chinatown,49.2798675,-123.1101502,ChIJQ6V7Eq9xhlQRJlMhnxVOMb8,Google,34.95199289162543
Milk and Sugar BBQ Bar,3.9,250,Joyce–Collingwood,49.2382266,-123.032209,ChIJj_aaXSN3hlQR1Mgyoz45QYk,Google,36.58939471993181
A & W Home Of The Burger Family,1.5,4,Main Street-Science World,49.2732033,-123.1008612,ChIJ6dqOGWRxhlQRrx-4--zk8sU,Google,37.25029207703104
A&W Canada,3.8,581,Marine Drive Station,49.209366,-123.11678,ChIJUaeYv_Z0hlQRj_EpoX3KYy8,Google,38.034462591678036
Pajo's YVR Inter. Departure Building Level 3,3.8,55,Yvr–Airport,49.194388,-123.1787194,ChIJeZ5ZljULhlQRrUGGuqZ09iU,Google,38.105669493737395
Pret A Manger,4.0,27,Marine Drive Station,49.209364,-123.116783,ChIJB4k2Q4x1hlQRLiybXd8gcIQ,Google,38.13336371190987
Sushi Maro Japanese Restaurant,4.0,735,Yaletown-Roundhouse Station,49.2749058,-123.1218909,ChIJN4qi39ZzhlQRlzqSDb047TY,Google,41.17360888552009
Super Great Pizza,4.3,773,Joyce–Collingwood,49.23833740000001,-123.0323357,ChIJHYr6fJR2hlQRV2V1pZHsMz4,Google,42.14442282586312
Pho Extreme Xe Lua,3.5,618,Broadway-City Hall Station,49.2633374,-123.1142824,ChIJddpmg91zhlQRn2cLhqMPhTs,Google,42.184349883534495
Subway,3.7,267,Marine Drive Station,49.20987299999999,-123.116526,ChIJt1XIlfZ0hlQRYtNkGawG2Es,Google,42.394510709899585
Pret A Manger,4.0,9,Broadway-City Hall Station,49.2633754,-123.1144271,ChIJvwZmUqRzhlQRDOTS_7MndFg,Google,42.82014750015486
European sausage,0.0,0,Yaletown-Roundhouse Station,49.274624,-123.1225223,ChIJXa1lbmNzhlQR2mzHyRDjOBo,Google,43.347496686225206
Rogue Kitchen & Wetbar,4.1,2259,Waterfront Station,49.2853348,-123.1114376,ChIJIft1c3hxhlQR8Nk5KKui3cM,Google,45.32812480605172
A&W Canada,3.9,725,Broadway-City Hall Station,49.2634018,-123.1144239,ChIJgw2RnN1zhlQR76HP_Ryxov8,Google,45.74678740931155
MeeT in Yaletown,4.4,1794,Yaletown-Roundhouse Station,49.2749415,-123.1217991,ChIJF6Rk5dZzhlQR8azs1JE8fCk,Google,46.134553428953446
Marulilu Café,4.5,787,Broadway-City Hall Station,49.2633339,-123.1141116,ChIJURqm2VhxhlQRH6dgfKE3Svk,Google,48.665113478436034
A&W Canada,3.8,656,Waterfront Station,49.2859947,-123.112256,ChIJ-7BJQX9xhlQR-vHYJge7GzM,Google,49.66973520668726
Salsa & Agave Mexican Grill,4.3,849,Yaletown-Roundhouse Station,49.2740868,-123.122011,ChIJ0W5RJtdzhlQR65k9gmpLNs8,Google,50.314009379811445
Tim Hortons,3.5,559,Marine Drive Station,49.209288,-123.11662,ChIJ-Tde7PZ0hlQRpkUIYsbj4cA,Google,51.464366497080576
Neptune Palace Seafood Restaurant (Vancouver),3.7,599,Marine Drive Station,49.21004800000001,-123.116603,ChIJs-JX3rZ1hlQRs_1BTeome-4,Google,51.809961339049835
The Flying Pig Yaletown,4.2,2272,Yaletown-Roundhouse Station,49.2750232,-123.121994,ChIJR-oj79ZzhlQRPxQ0DJ-fZRI,Google,54.21641531663467
Chambar Restaurant,4.5,3529,Stadium-Chinatown,49.2801271,-123.1099351,ChIJq2tI6HtxhlQRBaKUv59cS9E,Google,54.67267977632412
Mosaic Grille & Bar,4.2,200,Burrard,49.2850955,-123.1205419,ChIJ0xgBlYFxhlQRJXKhZLI71wE,Google,56.450804795001005
Freshslice Pizza,0.0,0,Oakridge-41st Avenue,49.2332718,-123.1158825,ChIJYdzEE7F1hlQRb8Zdf72rI5s,Google,56.85213982950238
Freshslice Pizza,4.5,265,Yaletown-Roundhouse Station,49.2740467,-123.12217,ChIJewgZJNdzhlQRD_KKU1jFZbg,Google,57.00674585841993
Subway,3.9,106,Yaletown-Roundhouse Station,49.2740632,-123.1222686,ChIJbffmJtdzhlQRaG6duBX7QVs,Google,57.819654132422066
Freshslice Pizza,4.2,564,Joyce–Collingwood,49.2378741,-123.0320064,ChIJlb7JeJR2hlQR5ymQR-AY8kw,Google,58.358564332811916
Donair Land,3.8,253,Joyce–Collingwood,49.238433,-123.0325759,ChIJcWF3fpR2hlQRFKfCDUkGeKk,Google,59.76570824589936
Dog Eat Corndog,4.4,38,Joyce–Collingwood,49.2381153,-123.031018,ChIJR8e2Sed3hlQR5Fu8sfeHZbg,Google,60.88650575188086
Capo & The Spritz,4.3,279,Yaletown-Roundhouse Station,49.2747185,-123.1227321,ChIJf19vi-tzhlQRQ4fkeaIDiLc,Google,60.916337558921185
Dublin Crossing - Vancouver,4.1,1384,Marine Drive Station,49.20950819999999,-123.1161917,ChIJIa_ZePZ0hlQR6Uj67grEe7o,Google,62.80245654563747
Devil's Elbow Ale and Smoke House,4.3,1694,Stadium-Chinatown,49.28020910000001,-123.1097658,ChIJKykD6HtxhlQRohz10KUI68M,Google,63.192950951251966
Padre Taco,3.9,15,Burrard,49.2860793,-123.1197614,ChIJkWE_KIJxhlQRV2u7R06eo4Q,Google,66.76459743914867
Uncle Fatih's Pizza - COMMERCIAL,4.2,811,Commercial-Broadway Station,49.2624933,-123.0701357,ChIJCQkB2U5xhlQR_XAoih1nlgs,Google,66.82544063296335
Jam Cafe,4.5,3301,Stadium-Chinatown,49.2802619,-123.1096419,ChIJUYBL3XtxhlQRrOYhW5_6DYc,Google,70.09700311774453
Panago Pizza,3.6,79,Marine Drive Station,49.2100801,-123.1178274,ChIJ17xXj651hlQRBNEnhBKcBGM,Google,74.29319878335313
Pink Elephant Thai,3.3,571,Marine Drive Station,49.2101116,-123.1162481,ChIJsyhPhfZ0hlQRw6qOhBW14eg,Google,74.53416411361141
Landmark Hotpot House,4.1,596,King Edward Station,49.2498405,-123.1155811,ChIJx3HmbvJzhlQRHVKLidWMFCU,Google,75.36499607289552
Chicko Chicken,4.2,76,Joyce–Collingwood,49.2378781,-123.0325626,ChIJX8ommVZ3hlQRWytJh-L2ApU,Google,80.27945897731367
Hapa Izakaya Yaletown,4.4,841,Yaletown-Roundhouse Station,49.2751544,-123.1226015,ChIJW8fi6NZzhlQRjKvR2NBsVkc,Google,83.77548712830523
Five Fifty,0.0,0,Stadium-Chinatown,49.2803238,-123.1092944,ChIJAQCww3txhlQRtv5ZVEP-lqY,Google,84.72761269140288
Cactus Club Cafe Yaletown,4.2,1698,Yaletown-Roundhouse Station,49.27507139999999,-123.1227765,ChIJTazswtZzhlQRuZas9GX26-I,Google,84.9471109479963
Charisma Social Club House,4.2,316,Stadium-Chinatown,49.2799406,-123.1087145,ChIJrRJmv3txhlQR3MkGD9d3OPA,Google,86.47250239381766
PLATO FILIPINO,4.0,226,Joyce–Collingwood,49.2378227,-123.0326023,ChIJszuUd5R2hlQRbQhmff6xKJQ,Google,86.63798943676666
Grab N Go Yaletown,4.5,73,Yaletown-Roundhouse Station,49.27488,-123.1230139,ChIJwYlYQBBzhlQRsfAcRUL1FVU,Google,86.75471030194599
Food Court & Stops,5.0,3,Waterfront Station,49.2849601,-123.1122362,ChIJw7YZW3hxhlQRQZ_37JRsNnQ,Google,86.89823338244136
Mamalee - Chinatown,4.0,34,Stadium-Chinatown,49.2796087,-123.108583,ChIJbSbJ949xhlQRZrEGqFDXlXc,Google,89.44471311549563
Rodney's Oyster House,4.4,1941,Yaletown-Roundhouse Station,49.2743262,-123.1231342,ChIJ9R182tZzhlQRgBcJ3U3p7t8,Google,89.75551443883612
Zab Zaab Thai Cuisine,4.6,182,Yaletown-Roundhouse Station,49.2748699,-123.1230725,ChIJxxoMHmJzhlQRaACSINH-s0o,Google,90.12494872182296
Egg Sammie,0.0,0,Yaletown-Roundhouse Station,49.275047,-123.1209698,ChIJwQoo-tZzhlQRKTzF5hkx2DU,Google,90.38970210541582
Ojik Kimchi Stew,0.0,0,Yaletown-Roundhouse Station,49.275047,-123.1209698,ChIJLa7k-9ZzhlQR9X73Ipmna3c,Google,90.38970210541582
Mapo Pancake House,4.2,172,Yaletown-Roundhouse Station,49.275047,-123.1209698,ChIJIzLWbzZzhlQR2agN1WfYoqk,Google,90.38970210541582
JOY CAFE,4.3,671,Marine Drive Station,49.2099139,-123.1182105,ChIJoUtzdT51hlQRW7qkx65gkZU,Google,90.63399712406738
Pampanga’s Cuisine Home of the Original Sisig,3.9,345,Joyce–Collingwood,49.2377663,-123.0326436,ChIJT-i_d5R2hlQRxbS0E4eSpaw,Google,93.21977134949633
