station_name,latitude,longitude,bikes,ebike,station_location
Richards & Cordova,49.284554,-123.111031,24,2,"49.284554, -123.111031"
Richards & Robson,49.280216,-123.117639,20,3,"49.280216, -123.117639"
Olympic Village Station,49.266314,-123.116011,26,2,"49.266314, -123.116011"
Campbell & Hastings,49.280852,-123.084746,14,0,"49.280852, -123.084746"
Cardero & Davie,49.285512,-123.1384,18,1,"49.285512, -123.138400"
Aquatic Centre,49.27821,-123.136972,40,1,"49.278210, -123.136972"
Beach & Broughton,49.281301,-123.139108,22,0,"49.281301, -123.139108"
Beach & Cardero,49.283298,-123.142288,22,0,"49.283298, -123.142288"
Georgia & Homer,49.280787,-123.115271,18,0,"49.280787, -123.115271"
Columbia & 5th,49.266476,-123.109389,18,2,"49.266476, -123.109389"
Haro & Denman,49.290587,-123.13625,20,1,"49.290587, -123.136250"
Stanley Park - Prospect Point,49.312568,-123.144177,0,0,"49.312568, -123.144177"
Arbutus & 10th,49.262835,-123.152626,18,0,"49.262835, -123.152626"
Ontario & 16th,49.256825,-123.105234,14,4,"49.256825, -123.105234"
Richards & Davie,49.275683,-123.124388,14,0,"49.275683, -123.124388"
8th & Prince Edward,49.263518,-123.09568,18,0,"49.263518, -123.095680"
Jervis & Robson,49.28691,-123.128818,20,0,"49.286910, -123.128818"
Smithe & Burrard,49.282503,-123.124697,20,1,"49.282503, -123.124697"
Broughton & Davie,49.283749,-123.136133,22,5,"49.283749, -123.136133"
Cypress & 10th,49.262944,-123.148109,14,0,"49.262944, -123.148109"
Granville Island,49.27029,-123.135025,32,0,"49.270290, -123.135025"
McLean & Pender,49.280427,-123.074082,16,1,"49.280427, -123.074082"
Richards & Smithe,49.279259,-123.119145,18,1,"49.279259, -123.119145"
Bute & Robson,49.285836,-123.127265,26,3,"49.285836, -123.127265"
Trafalgar & Cornwall,49.272969,-123.164325,20,0,"49.272969, -123.164325"
Alma & Point Grey,49.27247,-123.185643,24,0,"49.272470, -123.185643"
Point Grey & Blenheim,49.271471,-123.17731,14,0,"49.271471, -123.177310"
Hastings & Broughton,49.290112,-123.127062,24,4,"49.290112, -123.127062"
Yew & Broadway,49.263523,-123.155267,18,1,"49.263523, -123.155267"
8th & Macdonald,49.264928,-123.168068,22,1,"49.264928, -123.168068"
Balaclava & Broadway,49.264483,-123.173926,18,0,"49.264483, -123.173926"
Dunbar & Broadway,49.264579,-123.18373,26,1,"49.264579, -123.183730"
Grandview & Commercial,49.263746,-123.069892,16,1,"49.263746, -123.069892"
14th & Oak,49.258761,-123.127071,14,6,"49.258761, -123.127071"
Wallace & 4th,49.268974,-123.190701,18,3,"49.268974, -123.190701"
Balsam & Cornwall,49.273011,-123.159663,20,1,"49.273011, -123.159663"
Balaclava & 6th,49.266924,-123.173849,16,2,"49.266924, -123.173849"
Trafalgar & Broadway,49.264326,-123.164725,16,2,"49.264326, -123.164725"
Dunbar & 6th,49.266636,-123.183661,16,0,"49.266636, -123.183661"
18th & Cambie,49.254818,-123.114785,24,2,"49.254818, -123.114785"
Blenheim & 4th,49.268837,-123.177633,23,1,"49.268837, -123.177633"
18th & Heather,49.255034,-123.120226,16,2,"49.255034, -123.120226"
Point Grey & Bayswater,49.271044,-123.170661,16,2,"49.271044, -123.170661"
20th & Main,49.252691,-123.101289,16,2,"49.252691, -123.101289"
Station & Terminal,49.272172,-123.097978,18,4,"49.272172, -123.097978"
Jericho Beach,49.271082,-123.191458,30,0,"49.271082, -123.191458"
Burrard & Drake,49.27808,-123.130557,24,0,"49.278080, -123.130557"
Columbia & 1st,49.269969,-123.109623,24,0,"49.269969, -123.109623"
Davie & Beach,49.287528,-123.142139,30,9,"49.287528, -123.142139"
Morton & Denman,49.28803,-123.142135,26,0,"49.288030, -123.142135"
13th & Cambie,49.259579,-123.114769,14,2,"49.259579, -123.114769"
Nelson & Denman,49.2890705989865,-123.138407369468,18,0,"49.289071, -123.138407"
Melville & Bute,49.287782,-123.12395,14,2,"49.287782, -123.123950"
Seymour & Cordova,49.28512,-123.11242,19,2,"49.285120, -123.112420"
Arbutus & Nanton,49.247854,-123.153422,18,3,"49.247854, -123.153422"
Yukon & 6th,49.265939,-123.1129,18,0,"49.265939, -123.112900"
11th & Kingsway,49.261122,-123.097571,16,0,"49.261122, -123.097571"
