,Venue Name,Average Rating,Review Count,SkyTrain Station,Latitude,Longitude,ID,Source,Distance
151,Frying Pan food truck,4.8,236,Burrard,49.2865291,-123.1180292,ChIJawk2NIJxhlQRM-gFv9acuI8,Google,191.48040712585205
152,Tokyo In April,4.6,758,Stadium-Chinatown,49.2803961,-123.1074175,ChIJpfo-D8FxhlQRukneHiPAh7o,Google,193.08728860182657
153,Ekki Sushi,4.8,66,Main Street-Science World,49.2737759,-123.097836,ChIJLRXw-d9xhlQRjcK4-lNjovI,Google,194.35742920264897
154,Euro Cafe,2.1,23,Yvr–Airport,49.1949414,-123.1807049,ChIJMzpOaDYLhlQR_yp17xyFfFs,Google,194.6222671538904
155,Kyle's Cafe,4.2,345,Commercial-Broadway Station,49.2609377,-123.0700155,ChIJcei3k05xhlQR4p79ES3nnj8,Google,195.73760615518844
156,Notch8 Restaurant & Bar,4.0,971,Burrard,49.2838005,-123.1205637,ChIJg_-i0YFxhlQRIF9uO3r3DmM,Google,196.58706583196636
157,Nightshade,4.4,320,Yaletown-Roundhouse Station,49.2759801,-123.120331,ChIJY5GsAa9zhlQR0SpGxNXeOXI,Google,198.4347971855642
158,Bonjour Banh Mi,4.7,175,Oakridge-41st Avenue,49.2348627,-123.1158306,ChIJ5xtDLQV1hlQR8pklY7YkgrQ,Google,198.8476154075435
159,Tsuki Sushi Bar,4.2,654,Stadium-Chinatown,49.28090290000001,-123.1078361,ChIJJ8YrM3pxhlQR3p8xNI44_Q4,Google,200.68132822005583
160,Cactus Club Cafe Broadway + Ash,4.3,1879,Broadway-City Hall Station,49.26340829999999,-123.1172433,ChIJhz9CFt1zhlQRpJSOgRKv9CA,Google,201.3688020671104
161,Gotham Steakhouse & Cocktail Bar,4.6,2271,Vancouver City Centre,49.282901,-123.1158845,ChIJVQQVMn9xhlQRfFSHaGDN_EY,Google,203.63312568985597
162,Tim Hortons,3.6,853,Stadium-Chinatown,49.2809294,-123.1078014,ChIJfe2sYHhxhlQRtW9a0T_FIcg,Google,204.5412687707061
163,B House Restaurant,4.7,395,Commercial-Broadway Station,49.2644549,-123.0695255,ChIJzZFcYSdxhlQRBEix0Q2qvxg,Google,204.7749105923614
164,Einstein Wrap House,4.6,207,Stadium-Chinatown,49.2805954,-123.1073809,ChIJ9TZnM3pxhlQRWaIsRG6m3-E,Google,205.9665268839431
165,Sushi Taku,4.6,795,Joyce–Collingwood,49.2398371,-123.0300193,ChIJj_VEyJR2hlQR3YYnLXC4neE,Google,205.97802824825197
166,Mr. Pan Pizza,0.0,0,Joyce–Collingwood,49.2398415,-123.0300184,ChIJX_5ut5R2hlQRDLb20IHU_vo,Google,206.40485810917124
167,Sushi Tendo,3.9,307,Olympic Village Station,49.2646944,-123.1150946,ChIJ8U0e2eZzhlQRZ8ywfuy8q0k,Google,208.73263985630865
